author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
C. A. MacMunn,1900-01-01,10.1098/rstb.1900.0007,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0007,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0007?download=true,/doi/epdf/10.1098/rstb.1900.0007,The Royal SocietyLondon,I. On the gastric gland of mollusca and decapod crustacea its structure and functions
James C. Thompson,2024-10-21,rstb20220522,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0522,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0522?download=true,/doi/epdf/10.1098/rstb.2022.0522,The Royal Society,Interactions between neural representations of the social and spatial environment
Emmanuel Lourie,2024-10-21,rstb20240060,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2024.0060,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2024.0060?download=true,/doi/epdf/10.1098/rstb.2024.0060,The Royal Society,Spatial memory obviates following behaviour in an information centre of wild fruit bats
Maria Dawson,1900-01-01,10.1098/rstb.1900.0001,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0001,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0001?download=true,/doi/epdf/10.1098/rstb.1900.0001,The Royal SocietyLondon,I. “Nitragin” and the nodules of leguminous plants
Charles Sissmore Tomes,1900-01-01,10.1098/rstb.1900.0008,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0008,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0008?download=true,/doi/epdf/10.1098/rstb.1900.0008,The Royal SocietyLondon,II.— Upon the development of the enamel in certain osseous fish
Frederick Orpen Bower,1900-01-01,10.1098/rstb.1900.0002,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0002,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0002?download=true,/doi/epdf/10.1098/rstb.1900.0002,The Royal SocietyLondon,II. Studies in the morphology of spore-producing members.—No. IV. The leptosporangiate ferns
Charles Immanuel Forsyth Major,1900-01-01,10.1098/rstb.1900.0009,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0009,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0009?download=true,/doi/epdf/10.1098/rstb.1900.0009,The Royal SocietyLondon,"III. Extinct mammalia from Madagascar.—I. Megaladapis insignis, sp. n"
Cameron J. Baker,2024-10-21,rstb20220528,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0528,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0528?download=true,/doi/epdf/10.1098/rstb.2022.0528,The Royal Society,Active crocodiles are less sociable
John Lander Harper,1986-08-14,10.1098/rstb.1986.0021,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1986.0021,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1986.0021?download=true,/doi/epdf/10.1098/rstb.1986.0021,The Royal SocietyLondon,Preface
Aakash Pandey,2024-10-21,rstb20220532,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0532,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0532?download=true,/doi/epdf/10.1098/rstb.2022.0532,The Royal Society,The influence of social and spatial processes on the epidemiology of environmentally transmitted pathogens in wildlife implications for management
Roger S. Zoh,2023-10-23,10.1098/rstb.2022.0227,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0227,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0227?download=true,/doi/epdf/10.1098/rstb.2022.0227,The Royal Society,"Causal models and causal modelling in obesity foundations, methods and evidence"
Shyamalika Gopalan,2022-6-6,10.1098/rstb.2020.0410,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0410,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0410?download=true,/doi/epdf/10.1098/rstb.2020.0410,The Royal Society,Human genetic admixture through the lens of population genomics
Mark A. Jobling,2022-6-6,10.1098/rstb.2020.0422,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0422,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0422?download=true,/doi/epdf/10.1098/rstb.2020.0422,The Royal Society,"Forensic genetics through the lens of Lewontin population structure, ancestry and race"
Hao Shen,2022-6-6,10.1098/rstb.2020.0417,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0417,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0417?download=true,/doi/epdf/10.1098/rstb.2020.0417,The Royal Society,"Diversity and its causes Lewontin on racism, biological determinism and the adaptationist programme"
André Silva Maróstica†,2022-6-6,10.1098/rstb.2020.0420,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0420,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0420?download=true,/doi/epdf/10.1098/rstb.2020.0420,The Royal Society,How HLA diversity is apportioned influence of selection and relevance to transplantation
Jonathan Michael Kaplan†,2022-6-6,10.1098/rstb.2020.0427,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0427,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0427?download=true,/doi/epdf/10.1098/rstb.2020.0427,The Royal Society,"Polygenic risk, population structure and ongoing difficulties with race in human genetics"
Marcus W. Feldman,2018-4-5,10.1098/rstb.2017.0064,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2017.0064,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2017.0064?download=true,/doi/epdf/10.1098/rstb.2017.0064,The Royal Society,"Missing compared to what Revisiting heritability, genes and culture"
Nina G. Jablonski,2017-7-5,10.1098/rstb.2016.0349,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2016.0349,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0349?download=true,/doi/epdf/10.1098/rstb.2016.0349,The Royal Society,The colours of humanity the evolution of pigmentation in the human lineage
Juan Esteban Rodríguez-Rodríguez†,2022-6-6,10.1098/rstb.2020.0419,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0419,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0419?download=true,/doi/epdf/10.1098/rstb.2020.0419,The Royal Society,The genetic legacy of the Manila galleon trade in Mexico
Megan Aylward,2022-6-6,10.1098/rstb.2020.0418,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0418,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0418?download=true,/doi/epdf/10.1098/rstb.2020.0418,The Royal Society,How methodological changes have influenced our understanding of population structure in threatened species insights from tiger populations across India
Laurel Fogarty,2018-4-5,10.1098/rstb.2017.0063,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2017.0063,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2017.0063?download=true,/doi/epdf/10.1098/rstb.2017.0063,The Royal Society,Cultural complexity and evolution in fluctuating environments
