author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
Lenka Zdrazilova,2018-8-5,10.1098/rstb.2017.0138,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2017.0138,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2017.0138?download=true,/doi/epdf/10.1098/rstb.2017.0138,The Royal Society,Communicating abstract meaning concepts revealed in words and gestures
André Gonçalves,2018-9-5,10.1098/rstb.2017.0263,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2017.0263,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2017.0263?download=true,/doi/epdf/10.1098/rstb.2017.0263,The Royal Society,"Comparative thanatology, an integrative approach exploring sensorycognitive aspects of death recognition in vertebrates and invertebrates"
Cara L. Evans,2021-7-5,10.1098/rstb.2020.0056,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0056,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0056?download=true,/doi/epdf/10.1098/rstb.2020.0056,The Royal Society,The uses and abuses of tree thinking in cultural evolution
Fredrik Jansson,2021-7-5,10.1098/rstb.2020.0045,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0045,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0045?download=true,/doi/epdf/10.1098/rstb.2020.0045,The Royal Society,Modelling cultural systems and selective filters
Susan Perry,2021-7-5,10.1098/rstb.2020.0049,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0049,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0049?download=true,/doi/epdf/10.1098/rstb.2020.0049,The Royal Society,Not by transmission alone the role of invention in cultural evolution
Olivier Morin,2021-7-5,10.1098/rstb.2020.0052,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0052,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0052?download=true,/doi/epdf/10.1098/rstb.2020.0052,The Royal Society,Social information use and social information waste
Joep Leerssen,2021-7-5,10.1098/rstb.2020.0043,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0043,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0043?download=true,/doi/epdf/10.1098/rstb.2020.0043,The Royal Society,"Culture, humanities, evolution the complexity of meaning-making over time"
S. Myers,2021-6-21,10.1098/rstb.2020.0034,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0034,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0034?download=true,/doi/epdf/10.1098/rstb.2020.0034,The Royal Society,The differential role of practical and emotional support in infant feeding experience in the UK
Laurent Loison,2021-6-7,10.1098/rstb.2020.0120,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0120,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0120?download=true,/doi/epdf/10.1098/rstb.2020.0120,The Royal Society,Epigenetic inheritance and evolution a historian's perspective
L. A. Hawkes,2021-8-2,10.1098/rstb.2020.0210,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0210,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0210?download=true,/doi/epdf/10.1098/rstb.2020.0210,The Royal Society,Introduction to the theme issue Measuring physiology in free-living animals
Angela J. Crean,2021-6-7,10.1098/rstb.2020.0122,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0122,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0122?download=true,/doi/epdf/10.1098/rstb.2020.0122,The Royal Society,Evolutionary consequences of environmental effects on gamete performance
Anne Kandler,2018-4-5,10.1098/rstb.2017.0056,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2017.0056,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2017.0056?download=true,/doi/epdf/10.1098/rstb.2017.0056,The Royal Society,Generative inference for cultural evolution
