"author","date","identifier","language","og_url","pdf_download_link","pdf_link","publisher","title"
"Sonja A. Kotz and Anika Stockert and Michael Schwartze","2014-12-19","10.1098/rstb.2013.0403","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0403","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0403?download=true","/doi/epdf/10.1098/rstb.2013.0403","The Royal Society","Cerebellum, temporal predictability and the updating of a mental model"
"Hajime Hirase and Youichi Iwai and Norio Takata and Yoshiaki Shinohara and Tsuneko Mishima","2014-10-19","10.1098/rstb.2013.0604","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0604","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0604?download=true","/doi/epdf/10.1098/rstb.2013.0604","The Royal Society","Volume transmission signalling via astrocytes"
"Rebecca S. Schaefer","2014-12-19","10.1098/rstb.2013.0402","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0402","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0402?download=true","/doi/epdf/10.1098/rstb.2013.0402","The Royal Society","Auditory rhythmic cueing in movement rehabilitation findings and possible mechanisms"
"Dustin J. Hines and Philip G. Haydon","2014-10-19","10.1098/rstb.2013.0594","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0594","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0594?download=true","/doi/epdf/10.1098/rstb.2013.0594","The Royal Society","Astrocytic adenosine from synapses to psychiatric disorders"
"J. Devin McAuley and Elisa Kim Fromboluti","2014-12-19","10.1098/rstb.2013.0401","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0401","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0401?download=true","/doi/epdf/10.1098/rstb.2013.0401","The Royal Society","Attentional entrainment and perceived event duration"
"Stefanie Anders and Daniel Minge and Stephanie Griemsmann and Michel K. Herde and Christian Steinhäuser and Christian Henneberger","2014-10-19","10.1098/rstb.2013.0600","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0600","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0600?download=true","/doi/epdf/10.1098/rstb.2013.0600","The Royal Society","Spatial properties of astrocyte gap junction coupling in the rat hippocampus"
"Sylvie Nozaradan","2014-12-19","10.1098/rstb.2013.0393","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0393","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0393?download=true","/doi/epdf/10.1098/rstb.2013.0393","The Royal Society","Exploring how musical rhythm entrains brain activity with electroencephalogram frequency-tagging"
"Julia Klueva and Eckart D. Gundelfinger and R. Renato Frischknecht and Martin Heine","2014-10-19","10.1098/rstb.2013.0605","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0605","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0605?download=true","/doi/epdf/10.1098/rstb.2013.0605","The Royal Society","Intracellular Ca2+ and not the extracellular matrix determines surface dynamics of AMPA-type glutamate receptors on aspiny neurons"
"Amélie Rochet-Capellan and Susanne Fuchs","2014-12-19","10.1098/rstb.2013.0399","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0399","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0399?download=true","/doi/epdf/10.1098/rstb.2013.0399","The Royal Society","Take a breath and take the turn how breathing meets turns in spontaneous dialogue"
"Svetlana Korotchenko and Lorenzo A. Cingolani and Tatiana Kuznetsova and Luca Leonardo Bologna and Michela Chiappalone and Alexander Dityatev","2014-10-19","10.1098/rstb.2014.0134","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2014.0134","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2014.0134?download=true","/doi/epdf/10.1098/rstb.2014.0134","The Royal Society","Modulation of network activity and induction of homeostatic synaptic plasticity by enzymatic removal of heparan sulfates"
"Laura K. Cirelli and Stephanie J. Wan and Laurel J. Trainor","2014-12-19","10.1098/rstb.2013.0400","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0400","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0400?download=true","/doi/epdf/10.1098/rstb.2013.0400","The Royal Society","Fourteen-month-old infants use interpersonal synchrony as a cue to direct helpfulness"
"Gabriele Losi and Letizia Mariotti and Giorgio Carmignoto","2014-10-19","10.1098/rstb.2013.0609","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0609","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0609?download=true","/doi/epdf/10.1098/rstb.2013.0609","The Royal Society","GABAergic interneuron to astrocyte signalling a neglected form of cell communication in the brain"
"Peter E. Keller and Giacomo Novembre and Michael J. Hove","2014-12-19","10.1098/rstb.2013.0394","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0394","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0394?download=true","/doi/epdf/10.1098/rstb.2013.0394","The Royal Society","Rhythm in joint action psychological and neurophysiological mechanisms for real-time interpersonal coordination"
"Marta Navarrete and Adolfo Díez and Alfonso Araque","2014-10-19","10.1098/rstb.2013.0599","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0599","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0599?download=true","/doi/epdf/10.1098/rstb.2013.0599","The Royal Society","Astrocytes in endocannabinoid signalling"
