"","Year","Collocate","MI Score"
"206",1819,"curious",6.86
"207",1819,"respecting",6.36
"208",1819,"new",4.84
"209",1819,"many",4.6
"210",1819,"following",4.28
"211",1819,"these",3.93
"212",1819,"some",3.34
"213",1820,"propriety",9.23
"214",1820,"certainty",8.24
"215",1820,"curious",6.76
"216",1820,"respecting",6.3
"217",1820,"new",4.99
"218",1820,"many",4.58
"219",1820,"following",4.14
"220",1820,"these",3.9
"221",1820,"some",3.3
"222",1821,"propriety",9.1
"223",1821,"stated",5.53
"224",1821,"new",4.93
"225",1821,"many",4.35
"226",1821,"following",4.09
"227",1821,"these",4
"228",1821,"some",3.45
"229",1822,"stated",5.5
"230",1822,"new",4.74
"231",1822,"many",4.31
"232",1822,"following",3.9
"233",1822,"these",3.8
"234",1822,"some",3.43
"235",1823,"respecting",6.48
"236",1823,"stated",5.56
"237",1823,"new",4.82
"238",1823,"many",4.58
"239",1823,"these",4
"240",1823,"following",3.74
"241",1823,"some",3.37
"242",1824,"stated",5.52
"243",1824,"many",4.49
"244",1824,"these",3.87
"245",1824,"some",3.18
"246",1825,"stated",5.3
"247",1825,"many",4.27
"248",1825,"these",3.89
"249",1826,"stated",5.44
"250",1826,"many",4.21
"251",1826,"these",3.97
"252",1827,"stated",5.88
"253",1827,"preceding",4.13
"254",1827,"many",4.12
"255",1827,"paper",3.81
"256",1827,"appears",3.79
"257",1827,"these",3.68
"258",1827,"such",3.1
"259",1828,"stated",5.79
"260",1828,"many",4.08
"261",1828,"these",3.83
"262",1828,"appears",3.63
"263",1828,"such",3
"264",1829,"stated",5.66
"265",1829,"many",4
"266",1829,"these",3.74
"267",1829,"appears",3.52
"268",1830,"stated",5.64
"269",1830,"many",3.78
"270",1830,"these",3.75
"271",1831,"stated",5.43
"272",1831,"many",3.68
"273",1831,"these",3.62
"274",1832,"stated",5.35
"275",1832,"many",3.62
"276",1832,"these",3.6
"277",1833,"recorded",6.71
"278",1833,"stated",5.28
"279",1833,"many",3.64
"280",1833,"these",3.46
"281",1833,"appears",3.38
"282",1834,"recorded",6.9
"283",1834,"stated",5.35
"284",1834,"connected",4.42
"285",1834,"many",3.71
"286",1834,"these",3.44
"287",1835,"recorded",6.99
"288",1835,"respecting",6.15
"289",1835,"stated",5.36
"290",1835,"connected",4.78
"291",1835,"many",3.53
"292",1835,"these",3.49
"293",1835,"observed",3.2
"294",1836,"recorded",7.24
"295",1836,"stated",5.39
"296",1836,"connected",4.8
"297",1836,"these",3.53
"298",1836,"many",3.46
"299",1836,"some",3.06
"300",1837,"recorded",7.24
"301",1837,"connected",4.82
"302",1837,"these",3.65
"303",1837,"some",3.22
"304",1838,"recorded",7.25
"305",1838,"these",3.42
"306",1838,"observed",3.09
"307",1839,"recorded",7.3
"308",1839,"known",4.87
"309",1839,"these",3.51
"310",1839,"observed",3.11
"311",1839,"now",3.03
"312",1840,"recorded",7.14
"313",1840,"these",3.39
"314",1840,"now",3.24
"315",1841,"stated",5.24
"316",1841,"these",3.7
"317",1841,"some",3.12
"318",1841,"now",3.09
"319",1842,"these",3.8
"320",1842,"some",3.2
"321",1843,"these",3.86
"322",1843,"some",3.03
"323",1844,"these",3.92
"324",1845,"these",3.86
"325",1846,"these",3.85
"326",1847,"these",3.87
"327",1848,"these",3.92
"328",1849,"these",4.06
"329",1850,"these",4.06
"330",1851,"these",3.96
"331",1852,"these",4.01
"332",1853,"these",4.03
"333",1854,"these",3.97
"334",1855,"these",3.97
"335",1856,"these",3.95
"336",1857,"these",3.84
"337",1858,"these",3.92
"338",1859,"these",3.65
"339",1860,"these",3.69
"340",1861,"these",3.66
"341",1862,"these",3.69
"342",1863,"these",3.66
"343",1864,"these",3.67
"344",1865,"these",3.8
"345",1866,"these",3.73
"346",1867,"these",3.88
"347",1868,"these",3.75
"348",1868,"all",3.11
"349",1869,"these",3.8
"350",1869,"all",3.16
"351",1870,"these",3.81
"352",1870,"all",3.21
"353",1871,"these",3.77
"354",1871,"all",3.35
"355",1872,"these",3.76
"356",1872,"all",3.13
"357",1873,"these",3.87
"358",1873,"all",3.06
"359",1874,"these",3.92
"360",1874,"all",3.14
"361",1875,"these",3.89
"362",1875,"all",3.15
"363",1876,"these",3.94
"364",1876,"all",3.2
"365",1877,"these",3.96
"366",1877,"all",3.16
"367",1878,"these",3.94
"368",1879,"these",4.06
"369",1880,"these",4
"370",1881,"these",4.07
"371",1882,"following",4.48
"372",1882,"these",4.08
"373",1883,"these",3.97
"374",1883,"all",3.14
"375",1884,"these",3.97
"376",1884,"all",3.04
"377",1885,"these",3.98
"378",1886,"these",3.91
"379",1887,"these",3.97
"380",1888,"these",4.02
"381",1889,"these",3.9
"382",1890,"these",3.93
"383",1891,"these",3.98
"384",1892,"these",3.99
"385",1893,"these",4.01
"386",1894,"these",4.01
"387",1895,"these",4.01
"388",1896,"these",4.12
"389",1897,"these",4.1
"390",1898,"these",4.1
"391",1899,"these",4.17
"392",1900,"these",4.17
"393",1901,"these",4.19
"394",1902,"these",4.09
"395",1903,"these",3.99
"396",1904,"these",4.02
"397",1905,"these",4.1
"398",1906,"these",4.08
"399",1907,"these",4.15
"400",1908,"these",4.15
"401",1909,"these",4.23
"402",1910,"these",4.2
"403",1911,"these",4.12
"404",1912,"these",4.22
"405",1913,"these",4.28
"406",1914,"these",4.31
"407",1915,"these",4.33
"408",1916,"these",4.25
"409",1917,"these",3.99
"410",1918,"these",4.07
"411",1919,"these",4.06
"412",1920,"these",4.14
"413",1921,"these",4.24
"414",1922,"these",4.29
"415",1923,"these",4.31
"416",1924,"these",4.3
"417",1925,"these",4.3
"418",1926,"these",4.41
"419",1927,"these",4.45
"420",1928,"these",4.45
"421",1929,"these",4.42
"422",1930,"these",4.36
"423",1931,"these",4.36
"424",1932,"these",4.37
"425",1933,"these",4.36
"426",1934,"these",4.38
"427",1935,"these",4.32
"428",1936,"these",4.28
"429",1937,"these",4.22
"430",1938,"these",4.17
"431",1939,"these",4.4
"432",1940,"these",4.67
"433",1941,"these",4.61
"434",1942,"these",4.48
"435",1943,"these",4.47
"436",1944,"these",4.52
"437",1945,"these",4.48
"438",1946,"these",4.47
"439",1947,"these",4.5
"440",1948,"these",4.53
"441",1949,"these",4.25
