author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
Rémi Bourguet and Michael S. Triantafyllou,2015-1-28,10.1098/rsta.2014.0108,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0108,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0108?download=true,/doi/epdf/10.1098/rsta.2014.0108,The Royal Society Publishing,Vortex-induced vibrations of a flexible cylinder at large inclination angle
M. Drago and M. Mattioli and R. Bruschi and L. Vitali,2015-1-28,10.1098/rsta.2014.0111,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0111,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0111?download=true,/doi/epdf/10.1098/rsta.2014.0111,The Royal Society Publishing,Insights on the design of free-spanning pipelines
C. Swan and R. Sheikh,2015-1-28,10.1098/rsta.2014.0114,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0114,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0114?download=true,/doi/epdf/10.1098/rsta.2014.0114,The Royal Society Publishing,The interaction between steep waves and a surface-piercing column
Stephen Salter and Graham Sortino and John Latham,2008-8-29,rsta20080136,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0136,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0136?download=true,/doi/epdf/10.1098/rsta.2008.0136,The Royal SocietyLondon,Sea-going hardware for the cloud albedo method of reversing global warming
José Fernando Valencia and Montserrat Vallverdu and Isidre Rivero and Andreas Voss and Antonio Bayes de Luna and Alberto Porta and Pere Caminal,2015-2-13,10.1098/rsta.2014.0092,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0092,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0092?download=true,/doi/epdf/10.1098/rsta.2014.0092,The Royal Society Publishing,Symbolic dynamics to discriminate healthy and ischaemic dilated cardiomyopathy populations an application to the variability of heart period and QT interval
UnCheol Lee and Stefanie Blain-Moraes and George A. Mashour,2015-2-13,10.1098/rsta.2014.0117,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0117,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0117?download=true,/doi/epdf/10.1098/rsta.2014.0117,The Royal Society Publishing,Assessing levels of consciousness with symbolic analysis
Noah Myrent and Douglas E. Adams and D. Todd Griffith,2015-2-28,10.1098/rsta.2014.0345,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2014.0345,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2014.0345?download=true,/doi/epdf/10.1098/rsta.2014.0345,The Royal Society Publishing,Wind turbine blade shear web disbond detection using rotor blade operational sensing and data analysis
Ken Caldeira and Lowell Wood,2008-8-29,rsta20080132,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0132,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0132?download=true,/doi/epdf/10.1098/rsta.2008.0132,The Royal SocietyLondon,Global and Arctic climate engineering numerical model studies
R.S Lampitt and E.P Achterberg and T.R Anderson and J.A Hughes and M.D Iglesias-Rodriguez and B.A Kelly-Gerreyn and M Lucas and E.E Popova and R Sanders and J.G Shepherd and D Smythe-Wright and A Yool,2008-8-29,rsta20080139,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0139,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0139?download=true,/doi/epdf/10.1098/rsta.2008.0139,The Royal SocietyLondon,Ocean fertilization a potential means of geoengineering
Tom Rodden,2008-8-4,rsta20080146,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0146,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0146?download=true,/doi/epdf/10.1098/rsta.2008.0146,The Royal SocietyLondon,Living in a ubiquitous world
J. Michael T Thompson,2008-9-25,rsta20080215,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0215,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0215?download=true,/doi/epdf/10.1098/rsta.2008.0215,The Royal SocietyLondon,Introduction. Progress in Earth science and climate studies
Francis Lévi and Atilla Altinok and Jean Clairambault and Albert Goldbeter,2008-12-28,10.1098/rsta.2008.3000,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.3000,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.3000?download=true,/doi/epdf/10.1098/rsta.2008.3000,The Royal Society,"Correction for Lévi, Implications of circadian clocks for the rhythmic delivery of cancer therapeutics"
Mat Collins,2007-6-14,rsta20072068,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2068,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2068?download=true,/doi/epdf/10.1098/rsta.2007.2068,The Royal SocietyLondon,Ensembles and probabilities a new era in the prediction of climate change
