author,date,identifier,keywords,language,og_url,pdf_download_link,pdf_link,publisher,subjects,title
Jennifer C. Brookes,2010-8-13,10.1098/rsta.2010.0117,"['signal transduction', 'swipe card', 'olfaction', 'olfactory receptor', 'odorant', 'electron tunnelling']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2010.0117,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2010.0117?download=true,/doi/epdf/10.1098/rsta.2010.0117,The Royal Society Publishing,"['signal transduction', 'swipe card', 'olfaction', 'olfactory receptor', 'odorant', 'electron tunnelling', 'biophysics', 'nanotechnology', 'quantum physics']",Science is perception what can our sense of smell tell us about ourselves and the world around us
Niels Madsen,2010-8-13,10.1098/rsta.2010.0026,"['antimatter', 'antihydrogen', 'antiprotons', 'positrons', 'charge', 'parity and time theorem']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2010.0026,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2010.0026?download=true,/doi/epdf/10.1098/rsta.2010.0026,The Royal Society Publishing,"['antimatter', 'antihydrogen', 'antiprotons', 'positrons', 'charge', 'parity and time theorem', 'atomic and molecular physics', 'particle physics', 'plasma physics']",Cold antihydrogen a new frontier in fundamental physics
Paul Watson and Anne Trefethen and Elizabeth Vander Meer,2010-8-28,10.1098/rsta.2010.0177,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2010.0177,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2010.0177?download=true,/doi/epdf/10.1098/rsta.2010.0177,The Royal Society Publishing,['e-science'],"e-Science past, present and future I"
Sophia Ananiadou and Paul Thompson and James Thomas and Tingting Mu and Sandy Oliver and Mark Rickinson and Yutaka Sasaki and Davy Weissenbacher and John McNaught,2010-8-28,10.1098/rsta.2010.0152,"['text mining', 'term extraction', 'document classification', 'document clustering']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2010.0152,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2010.0152?download=true,/doi/epdf/10.1098/rsta.2010.0152,The Royal Society Publishing,"['text mining', 'term extraction', 'document classification', 'document clustering', 'e-science']",Supporting the education evidence portal via text mining
Michael Kaszuba and Jason Corbett and Fraser Mcneil Watson and Andrew Jones,2010-9-28,10.1098/rsta.2010.0175,"['zeta potential', 'electrophoretic mobility', 'electrophoretic light scattering', 'high concentration', 'high turbidity', 'concentration effects']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2010.0175,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2010.0175?download=true,/doi/epdf/10.1098/rsta.2010.0175,The Royal Society Publishing,"['zeta potential', 'electrophoretic mobility', 'electrophoretic light scattering', 'high concentration', 'high turbidity', 'concentration effects', 'materials science', 'nebulae']",High-concentration zeta potential measurements using light-scattering techniques
Gábor Orosz and R. Eddie Wilson and Gábor Stépán,2010-10-13,10.1098/rsta.2010.0205,"['vehicular traffic', 'congestion', 'stop-and-go waves', 'Hopf bifurcation', 'driver reaction time', 'unstable waves']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2010.0205,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2010.0205?download=true,/doi/epdf/10.1098/rsta.2010.0205,The Royal Society Publishing,"['vehicular traffic', 'congestion', 'stop-and-go waves', 'Hopf bifurcation', 'driver reaction time', 'unstable waves', 'complexity', 'mathematical modelling', 'mechanical engineering']",Traffic jams dynamics and control
W. Li and X. H. Kong and M. Ruan and F. M. Ma and Y. F. Jiang and M. Z. Liu and Y. Chen and X. H. Zuo,2012-7-13,10.1098/rsta.2012.0141,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2012.0141,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2012.0141?download=true,/doi/epdf/10.1098/rsta.2012.0141,The Royal Society Publishing,['materials science'],"Green waxes, adhesives and lubricants"
Brian Dean and Bharat Bhushan,2010-12-28,10.1098/rsta.2010.0294,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2010.0294,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2010.0294?download=true,/doi/epdf/10.1098/rsta.2010.0294,The Royal Society Publishing,['biomimetics'],Shark-skin surfaces for fluid-drag reduction in turbulent flow a review
Theodore J. Perkins and Roy Wilds and Leon Glass,2010-11-13,10.1098/rsta.2010.0139,"['genetic networks', 'symbolic dynamics', 'robustness', 'nonlinear dynamics', 'yeast cell cycle']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2010.0139,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2010.0139?download=true,/doi/epdf/10.1098/rsta.2010.0139,The Royal Society Publishing,"['genetic networks', 'symbolic dynamics', 'robustness', 'nonlinear dynamics', 'yeast cell cycle', 'applied mathematics', 'computer modelling and simulation', 'mathematical modelling']",Robust dynamics in minimal hybrid models of genetic networks
S. Barry Cooper and Samson Abramsky,2012-7-28,10.1098/rsta.2012.0221,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2012.0221,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2012.0221?download=true,/doi/epdf/10.1098/rsta.2012.0221,The Royal Society Publishing,"['artificial intelligence', 'theory of computing']","The foundations of computation, physics and mentality the Turing legacy"
